protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
P78559	>sp|P78559|MAP1A_HUMAN Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6	MAP1A	20.8840379804211	20.5554227140183	21.1565480410644	20.9036758024846	21.0701312595662	20.8230374463343	21.4293922706137
P46821	>sp|P46821|MAP1B_HUMAN Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2	MAP1B	23.1440845208995	23.3116802512508	23.3648122020688	23.1619311435883	23.7476041742149	24.2359932490277	23.4845086044713
Q9H492	>sp|Q9H492|MLP3A_HUMAN Microtubule-associated proteins 1A/1B light chain 3A OS=Homo sapiens OX=9606 GN=MAP1LC3A PE=1 SV=2	MAP1LC3A	24.5994798179444	24.1908052699251	25.3425824663398	24.9625122500617	25.1234103566386	25.3760703273398	24.6925258240322
Q66K74	>sp|Q66K74|MAP1S_HUMAN Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2	MAP1S	21.4338115757366	20.8449303744254	21.279748039231	21.2934447272521	21.6755171194254	21.5591471789859	21.2577740658854
P11137	>sp|P11137|MTAP2_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4	MAP2	19.4665991423554	21.0362689506657	20.0735153252164	21.0762313334141	20.897836648806	20.0958375881897	19.6522270319641
Q02750	>sp|Q02750|MP2K1_HUMAN Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2	MAP2K1	20.5927390611846	19.9608466157562	20.1451858209229	20.4016874082741	20.5771541596066	21.06968633208	20.5772598296979
P36507	>sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1	MAP2K2	22.3497155625373	21.9588198553056	22.7942920195254	22.5231908463756	22.6883298048245	22.8254593696501	22.2305903404294
P45985	>sp|P45985|MP2K4_HUMAN Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP2K4 PE=1 SV=1	MAP2K4	20.5682431070388	20.1163461970972	20.8735711065246	20.3543719944566	20.1192019442348	20.7514286329887	20.8761778114649
P52564	>sp|P52564|MP2K6_HUMAN Dual specificity mitogen-activated protein kinase kinase 6 OS=Homo sapiens OX=9606 GN=MAP2K6 PE=1 SV=1	MAP2K6	18.2333839794898	20.3510811252316	18.6962104647702	21.4343883371401	21.044776002194	20.0526647131806	17.6300730390335
Q9NYL2	>sp|Q9NYL2|M3K20_HUMAN Mitogen-activated protein kinase kinase kinase 20 OS=Homo sapiens OX=9606 GN=MAP3K20 PE=1 SV=3	MAP3K20	21.3959888057756	21.0075861321225	21.1102235186322	19.9684319692935	21.060031138858	21.4847576742162	20.9777782477369
